From,To,Agency,Discipline,OP/MT,Location,Equip. / Syst.,Delay Description,Duration,Hours,Date
03:39,04:33,E&A,E&A,MT,Furnace Area,Unloading device,Gab insaide furnace - Unloading device section A not aligned,0:54, 0.90 ,13/02/2022,night
16:39,16:42,E&A,E&A,MT,Finishing Area,Cold Shear,CCL area full - Cold shear lubrication MCC fault,0:03, 0.05 ,14/02/2022,Afternoon
02:46,02:50,MECH,MECH,MT,Finishing Area,Tying Machine,CCL area full - Tying M1 not cut feeding wire properly and caused one bundle going without first tied,0:04, 0.07 ,15/02/2022,night
02:04,02:16,E&A,E&A,MT,Finishing Area,HMI,One billet chopped due to cobble detected at entry CB - The last bar of billet under shoot in line 1a,0:12, 0.20 ,15/02/2022,night
09:14,09:20,E&A,E&A,MT,Finishing Area,Tying Machine,CCL area full - TM 2 lost auto mode,0:06, 0.10 ,16/02/2022,morning
17:38,17:54,MECH,MECH,MT,Finishing Area,Twin Channel ,Cobble detection by CB entry Hot Metal Detector s - After modefying the discharged length to 96m fire light up under Twin Channel  because of too much grease there and detected by Hot Metal Detector s,0:16, 0.27 ,17/02/2022,Afternoon
12:40,13:00,E&A,E&A,MT,Mill Area,BC2 Fast Lance ,CCL area full - BC2 fast lance got tip,0:20, 0.33 ,18/02/2022,morning
13:00,13:16,E&A,E&A,MT,,BC2 Fast Lance ,"CCL area full ,previous shift delay - BC2 fast lance got trip",0:16, 0.27 ,18/02/2022,Afternoon
08:43,08:52,E&A,E&A,MT,Finishing Area,HMI,Bar of 13 m over shoot - Optimization failure,0:09, 0.15 ,20/02/2022,morning
22:33,22:48,E&A,E&A,MT,Finishing Area,Tying Machine,CCL area full - Bundle didn't tying and got forwad to storage area,0:15, 0.25 ,20/02/2022,evening
13:56,14:05,E&A,E&A,MT,Finishing Area,HMI,Bar of 13.84 m over shoot in line 2 - Optimization failure,0:09, 0.15 ,22/02/2022,Afternoon
00:44,01:41,MECH,MECH,MT,Mill Area,Stand 14,Cobble beforand after S14 due to S14 stop - S14 shaft conncting unit unknown position(physiquelly not connected properly),0:57, 0.95 ,22/02/2022,night
12:54,13:00,E&A,E&A,MT,Furnace Area,Photocell,Gap created inside furnace - Photocell alignement missed,0:06, 0.10 ,23/02/2022,morning
16:21,16:35,E&A,E&A,MT,Finishing Area,HMI,Bar of 37 m undershoot in line 1 - Optimization failure,0:14, 0.23 ,23/02/2022,Afternoon
00:24,00:36,E&A,E&A,MT,Mill Area,HMI,One billet auto chopped due to under shoot detected at L 1A - One bar discharged near than Hot Metal Detector  28,0:12, 0.20 ,23/02/2022,night
10:01,10:11,E&A,E&A,MT,Finishing Area,HMI,Over shoot line one - HMI,0:10, 0.17 ,24/02/2022,morning
23:07,23:15,E&A,E&A,MT,Finishing Area,Tying Machine,CCL area full - TM 2 stopped on the bundle,0:08, 0.13 ,24/02/2022,night
23:15,23:23,MECH,MECH,MT,Finishing Area,Tying Machine,CCL area full - Feeding wire could not pass in TM 1,0:08, 0.13 ,24/02/2022,night
05:36,05:46,E&A,E&A,MT,Finishing Area,HMI,Over shoot line 2 13.83m in mean time change pass 5;6 - Optimizasion problem,0:10, 0.17 ,25/02/2022,night
22:21,22:42,E&A,E&A,MT,Finishing Area,HMI,One bar of 14m undershoot in CB line 2B - HMI,0:21, 0.35 ,26/02/2022,evening
02:34,02:43,E&A,E&A,MT,Finishing Area,HMI,"One bar of 09m at the end of billet overshooted in CB , one billet rejected and one chopped - HMI",0:09, 0.15 ,26/02/2022,night
15:20,15:29,E&A,E&A,MT,Finishing Area,HMI,"Over shoot line1,(9m) - Optimization not working properly",0:09, 0.15 ,27/02/2022,Afternoon
03:19,03:27,E&A,E&A,MT,,CVAH Line 01 Trip,1.5 billet auto chopped - CVAH line 1 got trip,0:08, 0.13 ,28/02/2022,night
13:17,13:29,E&A,E&A,MT,Finishing Area,Tying Machine,CCL area full - One bundle passed the TMs without tightening,0:12, 0.20 ,02/03/2022,Afternoon
16:59,17:11,E&A,E&A,MT,Finishing Area,HMI,Last bar of 59 m under shoot in 1B - The last bar discharged under the Hot Metal Detector  27,0:12, 0.20 ,02/03/2022,Afternoon
06:20,06:28,E&A,E&A,MT,Finishing Area,HMI,One ber of 15m overshooted in CB at the end of the billet - Optimisation failur,0:08, 0.13 ,03/03/2022,night
15:41,15:56,E&A,E&A,MT,Finishing Area,Vertical Transfert,Under shoot line 1A - The sixth bar discharged near to tail breaker,0:15, 0.25 ,03/03/2022,Afternoon
03:12,03:30,E&A,E&A,MT,Finishing Area,Dividing Shear Line 1 Trip,1.6 billets auto chopping - Dividing shear line 1 tripped,0:18, 0.30 ,03/03/2022,night
15:52,16:29,E&A,E&A,MT,Finishing Area,HMI,At the end of the billet one bar of 14m under shooted and stuck befor TB and after discharging tow bars of the next billet the 3rd 84m bar stuck there and caused cobble detection at Twin Channel  2B / optimisation was not working - HMI,0:37, 0.62 ,04/03/2022,Afternoon
20:04,20:18,E&A,E&A,MT,Finishing Area,Hot Metal Detector ,Under shoot line 1 - Last bar 30 m discharged near to Hot Metal Detector ,0:14, 0.23 ,04/03/2022,evening
20:19,20:33,MECH,MECH,MT,,Tail Breaker,Over shoot in line 2 at the head of the billet - Tail Braker coupling loose,0:14, 0.23 ,04/03/2022,evening
20:37,20:50,E&A,E&A,MT,Finishing Area,Hot Metal Detector ,Under shoot in line 2 - Last bar 26 m discharged close to Hot Metal Detector ,0:13, 0.22 ,04/03/2022,evening
21:02,21:26,E&A,E&A,MT,Finishing Area,Hot Metal Detector ,Under shoot line 1 - Last bar 40 m discharging under the Hot Metal Detector ,0:24, 0.40 ,04/03/2022,evening
09:23,09:27,E&A,E&A,MT,,Vertical Transfert,CCL area full - BC 1 going timeout,0:04, 0.07 ,05/03/2022,morning
21:29,21:32,E&A,E&A,MT,Finishing Area,Tying Machine,CCL area full - Tying machine stopped on the bundle,0:03, 0.05 ,05/03/2022,evening
06:55,07:08,E&A,E&A,MT,Finishing Area,Hot Metal Detector ,One billet auto chopped due to cobble detected at CB entry line 1a (under shoot) - The last bar of billet discharged near than Hot Metal Detector  26,0:13, 0.22 ,06/03/2022,night
02:33,02:56,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Fast Finishing Block 2 DC link tripped / bars undershooted and stuck inside Twin Channel  - Not clear,0:23, 0.38 ,06/03/2022,night
03:39,04:01,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Fast Finishing Block 2 DC link tripped / bar stuck from TB to WB3 - Not clear,0:22, 0.37 ,06/03/2022,night
05:29,05:40,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Cobble detected at Fast Finishing Block  line 2 - Fast Finishing Block  line 2 was tripped,0:11, 0.18 ,07/03/2022,night
10:29,10:42,E&A,E&A,MT,Finishing Area,HMI,Under shoot line 2 - Last bar of 61 m did not completly discharge,0:13, 0.22 ,08/03/2022,morning
03:31,03:41,E&A,E&A,MT,,Twin Channel  Trip,One billet auto chopped - Twin Channel  1A got trip,0:10, 0.17 ,08/03/2022,night
17:30,17:43,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped due to the last bar of 105m over shoot - Optimization failed,0:13, 0.22 ,09/03/2022,Afternoon
19:55,19:58,E&A,E&A,MT,Mill Area,Cooling Water,Mill not ready - Hi-section cooling water fault,0:03, 0.05 ,09/03/2022,evening
20:28,20:33,E&A,E&A,MT,Mill Area,Cooling Water,"Mill stopped ,one billet rejected - Hi-section cooling water fault",0:05, 0.08 ,09/03/2022,evening
08:06,08:11,E&A,E&A,MT,,CVR,DCVR2 stay in chopping line / one billet chopped manualy / no alarm appeared - No clear reason,0:05, 0.08 ,10/03/2022,morning
00:33,00:38,E&A,E&A,MT,Finishing Area,Vertical Transfert,CCL area full - One bundle going with one layer,0:05, 0.08 ,10/03/2022,night
18:23,18:32,E&A,E&A,MT,Mill Area,Hot Metal Detector ,Last ber of 60 m under shoot in 2B - Last bar tail rest under Hot Metal Detector ,0:09, 0.15 ,11/03/2022,evening
23:32,23:43,E&A,E&A,MT,Finishing Area,HMI,One billet auto chopped - The last bar of 60m under shoot in line 2B,0:11, 0.18 ,11/03/2022,night
08:32,08:48,MECH,MECH,MT,Furnace Area,Hydraulic Unit,Furnace not ready - Oil leakage in hydraulic unit,0:16, 0.27 ,13/03/2022,morning
06:28,06:38,E&A,E&A,MT,Mill Area,Cooling Water,0.5 billet auto chopped due to quenching system dropped - Water pumps of QTB return tank was switch off,0:10, 0.17 ,14/03/2022,night
18:41,18:50,E&A,E&A,MT,Finishing Area,Vertical Transfert,CCL area full - Bars stucked in vertical transfert BC 2 broblem,0:09, 0.15 ,15/03/2022,evening
13:13,13:29,E&A,E&A,MT,Mill Area,Cold Shear,CCL area full - Cold shear switch off due to its fan motor fault,0:16, 0.27 ,17/03/2022,Afternoon
03:19,03:54,MECH,MECH,MT,Mill Area,Vertical Transfert,CCL area full - BC2 vertical transfer high motor torque due to its braking system problem,0:35, 0.58 ,18/03/2022,night
22:55,23:04,E&A,E&A,MT,Mill Area,Looper,One billet rejeted due to looper after S14 go down and caused CVR looper both line down - No clear reason,0:09, 0.15 ,19/03/2022,evening
03:59,04:02,E&A,E&A,MT,Mill Area,Looper,Stop rolling - Looper after S14 not stable .,0:03, 0.05 ,19/03/2022,night
04:07,04:14,E&A,E&A,MT,Mill Area,Looper,Stop rolling again - Looper after S14 not stable due to founed full by water,0:07, 0.12 ,19/03/2022,night
13:38,13:51,E&A,E&A,MT,Mill Area,CVR,CVR2 door imibolisation still activated after door closed - Limit switch cam faled down,0:13, 0.22 ,20/03/2022,Afternoon
01:50,02:16,E&A,E&A,MT,Mill Area,Looper,Tension created in mill - Looper after stand 14 not stable,0:26, 0.43 ,20/03/2022,night
13:51,14:10,E&A,E&A,MT,Finishing Area,HMI,One bar of 31m overshooted in line2 at the end of the billet - HMI,0:19, 0.32 ,21/03/2022,Afternoon
17:22,17:45,E&A,E&A,MT,Finishing Area,Pinch Roll 03,"Cobble in Fast Finishing Block  2 - No clear reason ,but PR 3 not working properly",0:23, 0.38 ,22/03/2022,Afternoon
19:29,20:23,MECH,MECH,MT,Furnace Area,Encoder Section B,Gap inside furnace - Encoder section B of transfer billet table fell down,0:54, 0.90 ,23/03/2022,evening
22:51,23:09,E&A,E&A,MT,Mill Area,Looper,Looper 14 go down physicaly but on HMI shown high (more than 30%) and Mill RPMs decreased wich caused flat rebars on CB  - wronge reading of the looper hight by Hot Metal Detector  because of wet glass,0:18, 0.30 ,23/03/2022,evening
09:37,09:42,E&A,E&A,MT,Mill Area,Stand,Spindle support unlocked on HMI but locked physically - Under investigation by maintenece team,0:05, 0.08 ,24/03/2022,morning
19:03,19:10,E&A,E&A,MT,Mill Area,Looper,Stop rolling due to looper after S14 go down - Hot Metal Detector  secreen of looper found full with water,0:07, 0.12 ,24/03/2022,evening
03:06,03:42,E&A,E&A,MT,Mill Area,Looper,"Looper 14 go down physicaly,torque of st 14 not stable and mill Rpms decreased wich caused bars without L-rib  - No clear reason",0:36, 0.60 ,24/03/2022,night
14:36,15:06,E&A,E&A,MT,Mill Area,CVR,Cobble after S 16 to CVR chopping shear - Material set in chopping shear line 1,0:30, 0.50 ,25/03/2022,Afternoon
15:06,15:40,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Mill not ready due to Fast Finishing Block  line 2 not ready - Protection cover motor fault. Auto feed tank level low. Gear lubrication module min,0:34, 0.57 ,25/03/2022,Afternoon
16:36,16:50,MECH,MECH,MT,Mill Area,Cooling Water,Cooling water of roughing mill not stop - Air leakage in roughing water valve,0:14, 0.23 ,25/03/2022,Afternoon
16:59,17:49,E&A,E&A,MT,Mill Area,DC Link 03 Trip ,Cobble from S10 to looper after S14 - DClink DRM 03 tripped,0:50, 0.83 ,25/03/2022,Afternoon
19:19,19:27,MECH,MECH,MT,Mill Area,Discaler Water ,One billet rejected due to stucked inside discaler water - Piece broken from discaler water ,0:08, 0.13 ,25/03/2022,evening
08:12,09:16,E&A,E&A,MT,Furnace Area,Encoder Problem,Gap inside furnace because of billet transfer table beam4 not aligned - Beam 4 encoder wire problem,1:04, 1.07 ,26/03/2022,morning
10:39,10:42,E&A,E&A,MT,,OWS hunged,2 Close billets discharged / OWS hunged - Not clear,0:03, 0.05 ,26/03/2022,morning
08:19,08:28,E&A,E&A,MT,Mill Area,Looper,"Cobble at looper of stand 10, 2 close billets discharged (0.9 S interbillets) during normal autorolling - Under investigation",0:09, 0.15 ,27/03/2022,morning
17:23,17:29,E&A,E&A,MT,Finishing Area,Tying Machine,Tying machine 3 out of service - Electrical cable cut,0:06, 0.10 ,27/03/2022,Afternoon
20:14,20:24,E&A,E&A,MT,Mill Area,Stand,Mill not ready - Stand 01 spindle support unlocked but physically found locked,0:10, 0.17 ,27/03/2022,evening
03:57,04:01,E&A,E&A,MT,Mill Area,Looper,"Stop rolling - Looper after S12,14 not stable",0:04, 0.07 ,27/03/2022,night
20:00,20:17,E&A,E&A,MT,Mill Area,Twin Channel  Trip,Mill no ready - Twin Channel  1B drive fault,0:17, 0.28 ,28/03/2022,evening
21:56,22:09,E&A,E&A,MT,Finishing Area,HMI,One billet chopped - Bar 63m under shoot in line one,0:13, 0.22 ,28/03/2022,evening
22:46,22:58,E&A,E&A,MT,Finishing Area,HMI,One billet chopped and one rejected - Last bar 49m under shoot in line one,0:12, 0.20 ,28/03/2022,evening
03:30,03:45,E&A,E&A,MT,Finishing Area,HMI,One billet chopped and one rejected - Last bar 37 m under shoot in line one,0:15, 0.25 ,28/03/2022,night
15:02,15:10,E&A,E&A,MT,Finishing Area,Vertical Transfert,Section A lances don't reach fully backward home position and cause bars alignement problem in verticat transfer - Encoder problem,0:08, 0.13 ,29/03/2022,Afternoon
20:35,20:40,E&A,E&A,MT,Finishing Area,Tying Machine,"CCL area ,one bundle passed without tying - Taying machine problem",0:05, 0.08 ,29/03/2022,evening
10:20,10:26,MECH,MECH,MT,Finishing Area,Tying Machine,CCL area full due to one bundle going without first tie and stuck at rollres table after tying M3  - Feeding wire broken at twister of Tying M1,0:06, 0.10 ,31/03/2022,morning
10:39,12:17,E&A,E&A,MT,,DRM 03 Trip,Material stuck from CVRs to stand 10 - DRM 03 tripped,1:38, 1.63 ,01/04/2022,morning
06:16,06:27,E&A,E&A,MT,Mill Area,E36DRM01 Trip,Fast Finishing Block  2 can not started - E36DRM01 tripped,0:11, 0.18 ,02/04/2022,night
11:58,12:10,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Fast Finishing Block  2 stopped - Motor drive fault,0:12, 0.20 ,02/04/2022,morning
05:30,05:41,MECH,MECH,MT,Mill Area,Stand 05,Stop rolling - Spindle support of st 5 unlocked,0:11, 0.18 ,02/04/2022,night
06:00,11:00,E&A,E&A,MT,Mill Area,Hot Metal Detector ,Accumulative delays of actual interbillet time can't be decreased to the set value wich is 5S - Not clear,0:14, 0.23 ,03/04/2022,night
08:23,08:36,MECH,MECH,MT,Finishing Area,Pneumatic Cylinder,Stopper 2 doesn't go up - Pneumatic cylinder problem,0:13, 0.22 ,03/04/2022,morning
07:45,07:56,E&A,E&A,MT,Mill Area,Stand 05,Stand 5 spindel lock signal missed - Proxy problem,0:11, 0.18 ,04/04/2022,night
01:35,01:40,MECH,MECH,MT,Finishing Area,Tying Machine ,CCL area full due to tying M1 not working properly - Tying M1 stop in down position (no clear reason),0:05, 0.08 ,04/04/2022,night
05:34,05:40,MECH,MECH,MT,Mill Area,Tying Machine ,CCL area full - The first tie cut at twister of Tying M2 then one bar came out and caused elec cable of Tying M3 damaged,0:06, 0.10 ,04/04/2022,night
05:56,06:00,E&A,E&A,MT,Mill Area,Spindle Support,Mill not ready - Spindle Support unlocked but physically is locked,0:04, 0.07 ,06/04/2022,night
06:00,06:11,E&A,E&A,MT,Mill Area,Spindle Support,Mill not ready - Spindle Support unlocked but physically is locked,0:11, 0.18 ,07/04/2022,night
12:01,12:08,E&A,E&A,MT,Finishing Area,Dividing Shear 02,One billet auto chopped due to cobble detected at Cut to lentgh - Dividing shear line 2 tripped,0:07, 0.12 ,07/04/2022,morning
14:50,15:00,E&A,E&A,MT,Finishing Area,Looper ,Looper n 02 not working - Valve problem,0:10, 0.17 ,07/04/2022,Afternoon
02:45,03:41,E&A,E&A,MT,Finishing Area,Tail Breaker,Tail Braker 1b can't be started / motor fan alarm - Not clear,0:56, 0.93 ,07/04/2022,night
12:35,13:00,E&A,E&A,MT,Mill Area,Twin Channel ,Cobble in Twin Channel  2A to Fast Finishing Block  2 - Bar of 58 m hit in Twin Channel  2A,0:25, 0.42 ,08/04/2022,morning
15:25,15:50,MECH,MECH,MT,Mill Area,Snap Shear,Mill not reday - Line 2 snap shear not getting open,0:25, 0.42 ,08/04/2022,Afternoon
07:16,07:25,MECH,MECH,MT,Finishing Area,Tying Machine ,Tying machine 1 stopped - Wire stuck in twisting unit,0:09, 0.15 ,09/04/2022,night
